trigger_gap_bps,base_fee_bps,start_concession_bps,concession_growth_bps_per_sec,max_fee_bps,outcome,pools_passing_acceptance,min_clear_rate,mean_clear_rate,mean_recapture_pct,std_recapture_pct,min_recapture_pct,max_recapture_pct,mean_gain_vs_v3_pp,min_gain_vs_v3_pp,mean_solver_payout_bps,total_trigger_events
50,1,100,5,2500,all four pools pass,4,1.0,1.0,93.75306226694713,3.679575898722133,87.69707670640308,97.48724059013323,60.84702766653896,42.99213890904361,94.27931041718651,5613
50,1,100,5,5000,all four pools pass,4,1.0,1.0,93.75306226694713,3.679575898722133,87.69707670640308,97.48724059013323,60.84702766653896,42.99213890904361,94.27931041718651,5613
5,1,10,0.5,500,all four pools pass,4,0.9995635093845482,0.999890877346137,99.88032641465772,0.017113312364878664,99.85114757477989,99.89456026655071,66.97429181424955,47.32362933248823,11.250948581139662,7759
5,1,10,1,500,all four pools pass,4,0.9995635093845482,0.999890877346137,99.8678005699288,0.035969142826248315,99.80584381840784,99.89456026655071,66.96176596952064,47.32362933248823,12.503533054031127,7759
5,1,30,0.5,500,all four pools pass,4,0.9995635093845482,0.999890877346137,99.68035913249274,0.017120701900716576,99.65116325511543,99.69458556524566,66.77432453208459,47.12365463118318,31.247676797636053,7759
5,1,30,1,500,all four pools pass,4,0.9995635093845482,0.999890877346137,99.66783328776383,0.03597829282750199,99.60585949874338,99.69458556524566,66.76179868735568,47.12365463118318,32.50026127052752,7759
5,1,10,5,500,all four pools pass,4,0.9995635093845482,0.999890877346137,99.40482234054038,0.8157075990772086,97.99232788120302,99.89456026655071,66.49878774013222,47.32362933248823,58.81593177599517,7761
5,1,30,5,500,all four pools pass,4,0.9995635093845482,0.999890877346137,99.20485441574195,0.8157186801647355,97.79234099100474,99.69458556524566,66.29881981533379,47.12365463118318,78.81272425583781,7761
5,1,100,0.5,500,all four pools pass,4,0.9995635093845482,0.999890877346137,98.98047364491538,0.017146708985723406,98.95121813628988,98.994674110678,66.07443904450722,46.423743176615524,101.23622555537344,7759
5,1,100,1,500,all four pools pass,4,0.9995635093845482,0.999890877346137,98.96794780018645,0.03601037989285709,98.90591437991783,98.994674110678,66.0619131997783,46.423743176615524,102.4888100282649,7759
5,1,100,5,500,all four pools pass,4,0.9995635093845482,0.999890877346137,98.50496667894745,0.8157574665568841,97.0923868753107,98.994674110678,65.59893207853929,46.423743176615524,148.80149793528705,7761
10,5,10,0.5,500,all four pools pass,4,0.9995440036479708,0.9998860009119928,99.8874770001531,0.019023045514984908,99.85470354481868,99.90000427589928,66.98144239974494,47.329069065937524,11.252285600488783,7387
10,5,10,1,500,all four pools pass,4,0.9995440036479708,0.9998860009119928,99.87495293133138,0.038045387114860954,99.80940708963735,99.90000427589928,66.96891833092322,47.329069065937524,12.50469248266135,7387
10,5,30,0.5,500,all four pools pass,4,0.9995440036479708,0.9998860009119928,99.68748040268956,0.01902528625568521,99.65470354481867,99.70001397843399,66.7814458022814,47.12907297354865,31.2519453468429,7387
10,5,30,1,500,all four pools pass,4,0.9995440036479708,0.9998860009119928,99.67495633386783,0.03804762757869151,99.60940708963734,99.70001397843399,66.76892173345968,47.12907297354865,32.50435222901547,7387
10,5,10,5,500,all four pools pass,4,0.9995440036479708,0.9998860009119928,99.4118893819466,0.8179578525029801,97.99555145294282,99.90000427589928,66.50585478153843,47.329069065937524,58.81104742113953,7389
10,5,30,5,500,all four pools pass,4,0.9995440036479708,0.9998860009119928,99.21189278448306,0.8179598829625784,97.79555145294282,99.70001397843399,66.30585818407489,47.12907297354865,78.81070716749365,7389
10,5,100,0.5,500,all four pools pass,4,0.9995440036479708,0.9998860009119928,98.98749609949489,0.019034027920701815,98.9547055445288,99.00004793730544,66.08146149908673,46.42909335278029,101.25037566630951,7387
10,5,100,1,500,all four pools pass,4,0.9995440036479708,0.9998860009119928,98.97497203067316,0.03805636706246341,98.90940908934748,99.00004793730544,66.068937430265,46.42909335278029,102.50278254848207,7387
10,5,100,5,500,all four pools pass,4,0.9995440036479708,0.9998860009119928,98.51190839934449,0.8179681333579462,97.09555312487744,99.00004793730544,65.60587379893634,46.42909335278029,148.80914568134796,7389
10,1,10,0.5,500,all four pools pass,4,0.9995435874030123,0.9998858968507531,99.79198498366716,0.06294582841783512,99.68378845056569,99.83459125889604,66.885950383259,47.26366032483356,11.239042773652846,7364
10,1,10,1,500,all four pools pass,4,0.9995435874030123,0.9998858968507531,99.77945913893824,0.06076588140013717,99.68378845056569,99.83459125889604,66.87342453853009,47.26366032483356,12.491627246544311,7364
